# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
00402320	EvtRunQueuedActions	EvtRunQueuedActions()  Drains the 16-slot ring of actions pushed by evt opcode 0x30 (queue_event). Each queued record is {?, selector, operand[...]}; the operands are copied to the scratch block at DAT_009A6184 (8 dwords) and the handler is fetched from a TWO-LEVEL table:      handler = table[selector >> 4][selector & 0xF]      /* table = 0x005776EC */  The high nibble is BOTH the group index and the operand count -- the instruction is `2 + (selector >> 4)` dwords -- so the groups are organised by arity. The index table has 7 slots, four of them null; the sub-tables are laid out immediately BEFORE it:      group 1 @ 0x005776C4  6 handlers  selectors 0x10 .. 0x15     group 2 @ 0x005776DC  2 handlers  selectors 0x20 .. 0x21     group 4 @ 0x005776E4  1 handler   selector  0x40     group 6 @ 0x005776E8  1 handler   selector  0x60  TEN handlers in total. An earlier note in the docs claimed "100+ scripted actions"; that was an overestimate and is wrong.      0x10  EvtActionSetPlayerFlag10      DAT_009A5EBC bit 0 = op0     0x11  EvtActionSceneState11         EvtEnterSceneState(cur_major, op0)     0x12  EvtActionSetUpdateRoutine12   DAT_009A5CE0 = PTR_FUN_00579E90[op0]     0x13  EvtActionSetContinuation13    per-player continuation = op0 ? .. : FUN_00420810     0x14  EvtActionSetGlobal14          DAT_009C6F00 = op0     0x15  EvtActionSetFlag15            DAT_009C6F33 = 1     0x20  EvtActionHoldCameraPreset20   op0 = frame countdown; each frame copy                                         6 dwords from 0x00576CF0 + op1*0x18                                         into the player's camera block     0x21  EvtActionFinishSequence21     EvtEnterSceneState(2, op0); DAT_009A5900 |= 1     0x40  EvtActionCamPlay40            PLAY A cam/ PATH -- see below     0x60  EvtActionStoreSixOperands60   copies 6 operands to DAT_009C6FD8..  Measured across stages 1-6: the only selectors that occur are exactly those ten (0x10 x3, 0x11 x4, 0x12 x2, 0x14 x2, 0x15 x6, 0x20 x1, 0x21 x418, 0x40 x751, 0x60 x13). 0x13 is defined but never used.  --- selector 0x40, the evt -> cam link -------------------------------------      queue_event 0x40, start_frame, end_frame, path_index, flags  EvtActionCamPlay40 -> CamStartPathPlayback -> CamAdvancePathFrame, which calls CamEvalPath7(DAT_009A2D78, (float)frame, &eye, &lookat, &roll, &_) once per frame and increments the frame counter until it passes end_frame.      start_frame == -1   resume from the current frame instead of seeking     flags & 2           defer: stash into DAT_009C70AC/B0 for a later 0x40     flags & 4           consume the stashed values instead of the operands  path_index is a GLOBAL index across every loaded cam/ file, not a per-file one. DAT_004C479C maps global index -> cam file id, and its run lengths are exactly the per-file path counts, cp_* first then op_*:      0..17 cp_demo(18)  18..28 cp_demo2(11)  29,30,31 (1 each)  32..54 cp_st1(23)     55..120 cp_st2(66) 121..162 cp_st3(42)  163..202 cp_st4(40)     203..216 cp_st5(14) 217..232 cp_st6(16) ... then the op_* files  VALIDATION: all 751 selector-0x40 instructions in stages 1-6 name a path inside their own stage's global range -- 751/751. A wrong operand order would scatter those indices across the whole 233-path space. See tools/verify_evt_cam.py.
00402650	CameraDriverSelectMode	The finish-sequence camera driver installed for scene state minors 4 and 6. Picks the camera mode into g_seq_camera_mode: mode 2 (return to path) only when the enemy count -- g_enemies_alive, or g_enemies_present when DAT_009C6F2E is 2 -- is zero AND no g_enemy_slots entry is claimed; otherwise 3 (track enemies). 6 when DAT_009CA094 is 1, and 7 when DAT_009C6F30 or DAT_009C6F32 is set. Clears g_camera_free and 0x009C6F2C on every frame the mode is not 2, and skips that clear in mode 2 so CameraTurnOntoPathTarget can latch the flag on convergence. Then dispatches through the camera-mode table at 0x00576CBC and writes g_cam_path_frame through __ftol.
00402710	SceneStateInvalidHang
00402740	CameraTurnOntoPathTarget	Camera tick that eases the look-at onto the path's own target, then locks: once the dot product of desired and current exceeds 0.99999 it flips to evaluating the path straight into the camera block.
00402860	CameraHandBackToPath	Camera mode 2's sub-handler 1. NOT what the old name CameraStartTurnOntoPathTarget claimed: the bytes at 0x00402867 are C6 05 2D 6F 9C 00 01, which writes g_camera_free = 1 -- the *path* branch -- along with 0x009C6F2C = 0. It abandons the turn after one damped step and hands the camera back to the path. It is also unreachable: its only reference is entry 1 of the sub-table at 0x00576CE0, selected by byte 0x009C6F2E, whose sole writer (0x0040322D) stores 0.
00402890	CameraTrackEnemiesTick	The gameplay camera. Calls SelectCameraLookAtTarget, eases the block's look-at onto the result with TurnLookAtToward, and takes the turn rate from ComputeLookAtAngleError while enemies are registered or a flat constant when none are.
00402e00	CameraDriverFromDeferredPose	The finish-sequence camera driver installed for scene state minor 7 (via DAT_00576B20[7] = FUN_00402DB0, which stores it into g_evt_action_handler). Two jobs: recompute g_camera_free from the four g_enemy_slots entries -- 1 unless one is claimed, and nothing else is tested -- then copy the six-dword deferred rail pose at 0x009C70C0 into g_camera_block_eye and the six at 0x009C70D8 into 0x009A60D8, and write g_cam_path_frame through __ftol. The strict mode selection lives in the sibling driver CameraDriverSelectMode, not here.
00402e60	CameraEaseEyeToPath	Eases the camera block's eye toward the path's eye channel at 1/16 per frame, leaving the look-at to the tracking code.
00402ef0	CameraEaseBlockEyeToPathPose	Eases g_camera_block_eye toward the deferred-rail pose eye at 0x009C70C0 by a sixteenth a frame while g_camera_ease_eye is set, and snaps straight to it otherwise. CameraTrackEnemiesTick opens with this.
00402f80	StepCameraLookAtDamped	Per frame: evaluates the active cam/ path's look-at into g_camera_lookat_target, then eases the camera block's current target (block+0xD8) toward it. The easing is why the pan is smooth rather than a snap.
00403050	SelectCameraLookAtTarget	Picks what the camera looks at. Walks g_enemy_slots; an enemy holding an attack permit (obj+0x121 != -1) is focused ALONE, otherwise the midpoint of two registered enemies is used, and with no enemies registered it falls back to the cam/ path's own target channel. This is the gameplay tracking camera.
00403250	EvtActionSetContinuation13
004032e0	EvtActionHoldCameraPreset20
00403360	EvtActionCamPlay40
004033b0	CamEvalStaticPose
00403510	CamStartPathPlayback
004035e0	CamAdvancePathFrame	One frame of a non-deferred cam_play, and the action handler EvtRunQueuedActions calls once per frame while the play is queued. Read from the instruction stream at 0x00403605..0x0040368D: cur = g_cam_path_cursor (+0x104); g_cam_path_frame (+0xD0) = cur; CamEvalPath7(g_active_cam_path, (float)cur, &g_camera_block_eye, &g_camera_block_target, &roll, &_); CamBlockSetAnglesFromLookAt(...); g_cam_path_frames_left = end - cur; if (cur >= end) { slot 0: g_queued_events_pending--, g_evt_action_advance = 1, cur++, return; else park the handler on NoOpStub } cur++.  **The publish, the curve evaluation and the block write all happen BEFORE the 'cur >= end' test that retires the action**, so the block holds the pose of the frame a shot ends on -- start..end inclusive, one frame each -- and only the frame AFTER the end is left unwritten. CameraPlayStashedPath (FUN_0040C8A0) and CameraStepRailTick (FUN_0040C790) are the deferred twins and increment first instead.
004036b0	EvtActionSceneState11
00403710	EvtActionFinishSequence21
00403780	EvtActionSetUpdateRoutine12
004037e0	EvtActionSetGlobal14
00403830	EvtActionSetPlayerFlag10
004038a0	EvtActionStoreSixOperands60
00403930	EvtActionSetFlag15
00403980	CameraInstallFollowMidpoint	Installs CameraFollowPlayerMidpoint as the camera update hook, plus the per-player draw helper. One of eight installers that write g_camera_update_hook.
00403a60	CameraInstallDeferredRail	Installs CameraStepDeferredRailWithFrameExport as the camera update hook.
00403ac0	CamBlockSetAnglesFromLookAt	CamBlockSetAnglesFromLookAt(float *block_eye, float *block_target, float roll). Turns the camera block's eye/look-at pair into the block's own orientation words: VecToAngles(eye - target, &block[+0x8C], &block[+0x90]) then block[+0x94] = roll. Note the delta is eye MINUS target. CamAdvancePathFrame calls it immediately after CamEvalPath7 and before the end-of-path test, so the frame a shot ends on gets its angles written like any other.
00403b00	ComputeLookAtAngleError	Angle between the camera's current look direction and the desired one, clamped to 0x1FFF (45 deg) and used to index PTR_DAT_00576C04 -- the turn-rate curve, so a bigger swing turns at a different rate.
00403bd0	EvtEnterSceneState	EvtEnterSceneState(int major, int minor)  The scene state machine. Records the state and immediately runs its installer:      DAT_009C6F14 = DAT_009C6F10 = minor;     DAT_009C6F0C = DAT_009C6F08 = major;     goto g_scene_state_table[major * 9 + minor];     /* 0x00576C14 */  The *9 is confirmed from the disassembly (LEA ECX,[ECX+EAX*8]; ADD EAX,ECX), not from the decompiler. FUN_00403BB0 is the same without the DAT_009C6F08/10 backup copies.  A cell does not do work -- it INSTALLS the hooks for that phase:      _DAT_009C7080              camera update, run each frame by CameraUpdateTick     _DAT_009A5CDC/_DAT_009A5E0C   per-player update  (P1 / P2, 0x130 apart)     _DAT_009A5CE0/_DAT_009A5E10   per-player sub-routine                                (also writable from script: queue_event 0x12)  6 rows x 9 columns. Unused cells point at SceneStateInvalidHang (0x00402710), which is `while(1);` -- an invalid transition DELIBERATELY LOCKS UP, so the live cells below are an exact statement of which states exist.       min:   0        1        2        3        4        5        6      7    8  maj 0 |  none      -        -        -        -        -        -      -    -  maj 1 |   -     follow    none+B   viewang     -        -        -      -    -  maj 2 |   -        -        -        -      snap     shake   stash+f stash  -  maj 3 |   -        -        -        -        -        -        -      -    -  maj 4 | nop x6 ..............................          -        -      -  0x402720  maj 5 | 402890     -      NULL    420810    402A40     -      402740 402860 402740  Camera hooks installed by rows 0-2, all writing the same six globals -- DAT_009C71E0/E4/E8 eye xyz, DAT_009C71EC/F0/F4 pitch/yaw/roll (BAMS):    (0,0) 0x00403970  no camera hook (the do-nothing stub)   (1,1) 0x00403980  CameraFollowPlayerMidpoint  -- midpoint of the two players,                     or player DAT_009C7000 alone when DAT_009C8E80 == 1   (1,2) 0x004039A0  no camera hook, but installs the player-B sub-routine   (1,3) 0x004039D0  CameraFromViewAngles -- builds the pose from the view                     struct by RotateY(yaw-0x8000)/RotateX(-pitch)/roll and a                     (0,-15,0) translate   (2,4) 0x00403A00  CameraSnapToPathEye -- snap to the cam/ path eye, then                     re-install itself as 0x0040C470 for following frames   (2,5) 0x00403A30  CameraPathWithImpulseShake -- path pose plus a 30-frame                     decaying impulse, gated on _DAT_009C9028 & 0x20000   (2,6) 0x00403A60  CameraPlayStashedPathPublishFrame   (2,7) 0x00403A90  CameraPlayStashedPath  (2,6) and (2,7) both call CamEvalPath7(g_active_cam_path, frame, ...) directly, stepping DAT_009C70AC toward DAT_009C70B0 -- and those are exactly the globals that EvtActionCamPlay40's `flags & 2` branch (FUN_00403490) stashes. So `queue_event 0x40` with bit 1 set defers a path, and camera state (2,6)/(2,7) is what plays it. They differ only by `<` vs `<=` on the end frame and whether the current frame is published to _DAT_009C709C.  Three of the camera hooks share this, which fixes two script opcodes:      if (DAT_009C70F4 == 1) eye.y = DAT_009C8E58;      /* fixed height   */     else                   eye.y = path.y - 15.0f;    /* path-relative  */  DAT_009C8E58 is written by evt opcode 0x1A and DAT_009C70F4 by opcode 0x36, so 0x1A sets a fixed camera eye height and 0x36 selects it.  VALIDATION [measured]: every state transition in the shipped scripts lands on a live cell. `queue_event` selector 0x21 (finish_sequence) always passes major = 2, and its 444 operands across all stages are only 4, 6 and 7 -- inside row 2's live set {4,5,6,7}. Selector 0x11 passes the current major with operands 1 and 3, inside row 1's live set {1,2,3}. A wrong row width would put these on the hang loop.
00403c00	TurnLookAtToward	Rotates a look-at point toward a desired one by num/(num+rate) of the angle between them and re-emits it at a fixed 100-unit radius from the eye. Rate 0 snaps; larger is slower.
00403db0	CameraArmStashedPath	Loads the stashed path id and frame for the current branch variable and evaluates it into the camera block.
00404000	CamBindPathSlots	Bind one loaded cam/ file's paths into the global 0..417 path-slot space.  Walks the file's offset table and the EXE slot list in lockstep, so path k of a file is global slot slot_list[k]:      slot = *psVar3++;                                   // s16[] at 0x004C470C     *(int *)(&DAT_0059C9F8 + slot * 8) = *piVar4++ + DAT_0059C9EC;     (&DAT_0059C9FC)[slot * 4] = 2;  i.e. descriptor_ptr = file_base + offset_table[k]. Count comes from the u16 table at 0x004C476C. The 0x10-byte per-file record at 0x0059D708 gets its state word (+8) set to 2; its +0 is the raw allocation and its +4 the curve base, both filled by the loader at 0x00403F75/0x00403F9E as file_base + 4 + path_count*4.  NOTE FOR THE FORMAT: this performs NO fixup, relocation or decode of the curve payload. The file arrives by a plain CreateFileA / GetFileSize / ReadFile / CloseHandle into a 32-byte-aligned buffer, and CamEvalHermiteCurve then reads those bytes as floats. So the bytes on disk are the bytes the game evaluates -- which is what establishes that the smashed 0xFF bytes in cp_st1/cp_demo/cp_title/cp_st3 are a data defect and not a misparse. See docs/re/anomalies.md.  CamEvalPath7 takes the descriptor pointer from this table but the curve base from SLOT_TO_CAM (0x004C479C) instead; the two tables agree for all 418 slots.
004040f0	CamEvalHermiteCurve	Evaluate one cam/ Hermite curve at time param_2.  param_1 is the curve header as a ushort*: [0] = key_count (always a power of two), [1] = search_steps (its log2). Keys follow at byte +4, 16 bytes each.  The indexing pins the layout beyond doubt. *(float *)(param_1 + i*8 + 2) is byte i*16 + 4 -- key i's first field -- and it is what the binary search compares against, so field 0 is TIME. With pfVar1 = &key[i].field0:      pfVar1[ 1]  key[i].value           -> weight  3s^2/h^2 - 2s^3/h^3     pfVar1[-3]  key[i-1].value         -> weight  2s^3/h^3 - 3s^2/h^2 + 1     pfVar1[ 3]  key[i].tangent_in      -> weight  s^3/h^2 - s^2/h     pfVar1[-2]  key[i-1].tangent_out   -> weight  s^3/h^2 - 2s^2/h + s     pfVar1[-4]  key[i-1].time  so the key is {time, value, tangent_out, tangent_in} at a 16-byte stride, and tangents are in value-per-unit-time. Textbook cubic Hermite.  There is no masking, no sentinel test and no integer path: whatever bytes are in the file are read as floats. Combined with the loader doing a plain ReadFile and CamBindPathSlots doing no payload fixup, that is what proves the smashed 0xFF bytes in cp_st1/cp_demo/cp_title/cp_st3 are evaluated by the shipped game too. See docs/re/anomalies.md.  The search cannot leave the key array, so times outside the curve extrapolate along the end segments rather than clamping.
004041e0	CamEvalPath7
004042d0	CamEvalObjectPath6	writes {float x,y,z; int rx,ry,rz}; Ghidra types all six as float and is wrong
00404570	ProcessPlayerShots	consumes the shot-test list, per player
00404630	ShotTestSphere	The first test every registered object gets, and for most classes the ONLY one. RayTestSphere(player, obj+0x70, obj+0x74, obj+0x78, obj+0x124) against the point RegisterForShotTest published and the radius at obj+0x124; on a hit it forks: if obj+0x34 bit 0x80 is set AND g_character_skeletons[obj+0x1F4] has nodes AND bit 0x8000 is clear it hands over to ShotTestSkeleton and the shot is resolved bone by bone, and otherwise THE WHOLE ACTOR IS ONE CANDIDATE -- its +0x70/74/78 and its flags go into the candidate list at 0x0059F4DC and the nearest wins. So a class with no skeleton is hit as a single sphere and needs no bones at all, which is what makes class 0x52's mouse shootable: MouseInit sets obj+0x124 = 2.0 and nothing else. ProcessPlayerShots picks this arm when obj+0x34 bit 0x10 is clear and ShotTestMesh when it is set.
00404700	ShotTestSkeleton	walks g_pCharacterSkeletons[char_type] -- the SAME tree the renderer draws through
00404750	ShotTestBoneTree	per bone: sphere, or mesh when record+0x88 != -1; recurses into children
004047d0	ShotTestBoneSphere	ray vs the bone's hit sphere from g_pBoneHitSpheres, appended to g_coli_candidates
004048a0	ShotTestBoneMesh	precise test against the bone's own collision mesh in its local space
00404a00	ShotTestMesh
00404ad0	ShotBuildSegment	origin -> origin + direction * 1000
00404b80	ShotTestWorld	the miss: ColiSegmentVsMesh against the full and ray-only collision sets
00404db0	MarkActorShot	sets obj+0x34 |= 8 and the shooter bit
00404f60	ColiTraceSegmentInObjectSpace
00405080	ColiSortHitCandidatesByDistance
00405160	RegisterForShotTest	Appends the actor to the per-frame list at 0x0059D8E8: {obj, obj+0x34, obj+0x12C, +0x130, +0x134}, stride 5 dwords. Skipped when obj+0x34 bit 0x8000 is set, and taken only when bit 0x10 is set or obj+0x78 <= 0 -- and obj+0x78 is the VIEW-SPACE z, so that half is a behind-the-camera cull. ActorDespawn (FUN_00409CC0) sets obj+0x34 |= 0x80018000, so an object that despawned earlier in the same frame still reaches its own call and the append silently does not happen; three of the class 0x41 routines are written exactly that way. It feeds two consumers, not one: the gunshot hit test, and -- after ColiPublishDynamicList copies it to 0x005A30A0 -- ColiTestSphereAgainstActors, the actor-versus-actor push. So a class that never calls this takes no part in separating a crowd. The bit 0x10 also picks WHICH shot test ProcessPlayerShots runs: clear goes to ShotTestSphere and set to ShotTestMesh.
00405260	SpawnWorldImpact	A shot that hit the world: takes the surface material from the collision hit record (+0x30) and spawns the matching sprite and sound.
00405360	ColiPublishDynamicList	Copies the registration list at 0x0059D8E8 to the dynamic list at 0x005A30A0 that ColiTestSphereAgainstActors walks, five dwords per entry. The two-buffer split is what lets the push test a snapshot of the frame's spheres rather than a list being appended to while it reads.
004053b0	ColiTraceSegmentAllSets
00405550	ColiTraceSegmentVsObjectBlob
00405620	ColiPushObjectHitCandidate
00405650	ColiPushStaticHitCandidate
00405680	ColiRecordHitCandidate
00405760	ColiSelectNearestHitCandidate
004057f0	ColiTestSphereAgainstFullSet
00405b10	ColiTestSphereAgainstActors	The actor-versus-actor sphere test. Walks the per-frame dynamic list at 0x005A30A0 (stride 5 dwords, {ptr, ?, x, y, z}), skipping the caller and anything carrying obj+0x34 bits 0x80008000 or 0x10, and lazily filling obj+0x128 from obj+0x124 for an actor whose class never set a body radius. Overlap is centre-to-centre against the SUM of the radii and the nearest candidate wins. It does not move the actor it finds: it writes the OPPOSITE push onto it -- obj+0x138 = me, obj+0x13C = depth, obj+0x140..0x148 = -normal -- and that actor applies it on its own next frame, so one test per actor separates a whole crowd.
00405f90	ColiActiveSetsClear
00405fe0	ColiActiveSetsCreateTask
00406010	ColiActiveSetsSyncTask
00406110	BuildShotRay	unprojects the crosshair with g_projection_distance_px (640.21) and writes the per-player shot record at g_ShotRecords
004062a0	RayTestSphere	rotates the centre into the shot frame with the precomputed sin/cos and compares the perpendicular distance to the radius
00406310	CheckSphereInFrustum
00407120	BoneHitSpriteDrawAndTick	The task SpawnBoneHitSprite starts: draws asset slot 0x3A + cel at the posed position of bone task+0x48 of actor task+0x34 (the bone record's +0x274/+0x278/+0x27C/+0x284), scaled by depth -- 1.0 beyond -20 units, otherwise 0.25 - z*0.0375 -- and then by 0.15 with g_wCaptionMode 1 or 0.3 without. Steps the cel and kills itself past 0x18, so it is 25 frames long. What the 25 slots from 0x3A are is [open].
00407200	SpawnBoneHitSprite	ActorAlloc(BoneHitSpriteDrawAndTick, 0x50) with the actor at task+0x34, the bone index at task+0x48 and the cel counter at task+0x44 = 0. Called once per hit bone by OneHitTargetUpdate. Renderer-only.
00407230	DrawBloodSpray	The blood flipbook: AssetDrawSlot(frame + 0x3A) for 25 frames at the hit bone, in view space, scaled (-view_z*0.0375 + 0.25) * 0.3 * severity.
00407310	SpawnBloodSpray	Spawn the blood flipbook at a bone. Arg 3 is the severity scale ActorShotFeedback picks: 0.5 damaged, 0.75 damaged and swapped, 1.0 severed.
00407340	SpawnSpriteEffect	billboarded sprite-animation effect by kind
004073b0	SpawnSpriteEffectFromParams	SpawnSpriteEffectFromParams(params) -- allocate one sprite-effect actor and start it.  The body behind SpawnSpriteEffect (FUN_00407340), which has 37 callers and does nothing but marshal a position/facing pair plus a kind into the 12-float parameter block, passing -1.0 at params[6] for "no scale override". FUN_004073A0 is a bare pass-through with 5 more callers.  Algorithm: ActorAlloc(LAB_00407A70, 0x68); position from params[0..2]; facing from params[3..4], recomputed toward g_camera_block_eye when params[10] != 0; kind byte params[9] stored at +0x5C; a switch on the kind fills the texture range [+0x60, +0x64] and the base scale +0x50. Kinds 1/2/3/5/6 are the collision materials (sand, metal, other, water, wood); 0x53 also seeds +0x4C from rand(); 0x5A recurses twice to spawn kinds 0x5B and 0x5C. Then a distance-based scale law (kind 'S' out to -35, everything but 'c' out to -15) and PlayImpactSoundForMaterial(kind).  Parameters: params -- 12 floats, built by the caller. Returns: nothing.  Named SpriteEffectSlotRange in ghidra/annotations until 2026-09-03, which described only the switch; docs/formats/combat.md called this address SpawnImpactSprite, which described only the material cases and collided with the wrapper's own name. It spawns, and impact is one of its kinds.
00407950	PlayImpactSoundForMaterial	Collision material -> ricochet sound. The filenames it resolves to are what name the materials: 1 sand, 2 metal, 3 other, 5 water, 6 wood.
00407a70	SpriteEffectDrawAndTick	The per-frame body of the object SpawnSpriteEffectFromParams allocates, and the whole of what a sprite effect is. Draws AssetDrawSlot(+0x60) under translate(+0x38..+0x40) * RotY(+0x48) * RotX(+0x44) * RotZ(+0x4C) * scale(+0x50/+0x54/+0x58) in draw layer 0xE, then +0x60 += 1 and dies once it passes the last slot at +0x64 -- so the flipbook is one asset slot per frame at 60 Hz and its length is last - first + 1. Kind 'P' (0x50) draws under light colour (1.0, 0.3, 0.0) and kind 'S' (0x53) under (0.85, 0.85, 0.75) at three quarters scale until its cursor reaches 0x129.
00407da0	SpawnGroundRingEffect	On DAT_009C8E98 == 6 only, spawns a 120-frame flat ground ring at the actor's shadow anchor obj+0x100/+0x108 and the ground height plus 0.05. Draws asset slot 0x1A38 scaled in X and Z only, expanding from 0 to 4x over its life through cos at 136.5333 BAMS a frame.
004083d0	AttachedEffectThink	obj+0x1390 is a PARENT ACTOR here, not a descriptor tail
00408770	SpawnAttachedEffect
00408820	EvtOpSpawnIfOnePlayer	Event opcodes 0x01-0x04: run the spawn only in a one-player game.    if (g_max_attackers == 1) jmp g_evt_spawn_gated_handlers[g_evt_opcode];   else                      skip the -1-terminated operand list;  g_evt_spawn_gated_handlers (0x00577650) is indexed by the *opcode*, so 0x01 -> EvtOpSpawnPlaced09, 0x02 -> EvtOpSpawnSimple0A, 0x03 -> EvtOpSpawnObj0B,    0x04 -> EvtOpSpawnObjC0C. The descriptor list is therefore identical to the ungated opcode it forwards to; only the gate is new. EvtOpSpawnIfTwoPlayers (0x00408860) is the same routine testing 2.  g_max_attackers is the count of players currently in play (raised in FUN_00414770 for a player state flagged 0x20, lowered in FUN_00414280), so "mode" here means the live player count, not a difficulty or game mode.  Only 0x03/0x04 and 0x07/0x08 are ever encoded by a shipped script.
00408860	EvtOpSpawnIfTwoPlayers	Event opcodes 0x05-0x08: run the spawn only in a two-player game.  Identical to EvtOpSpawnIfOnePlayer (0x00408820) but testing g_max_attackers == 2. The forward table g_evt_spawn_gated_handlers repeats the same four entries at indices 5-8, so 0x05 -> EvtOpSpawnPlaced09, 0x06 -> EvtOpSpawnSimple0A, 0x07 -> EvtOpSpawnObj0B, 0x08 -> EvtOpSpawnObjC0C.  Stage 1 block 0 step 2 pairs them: 0x07 lists three class-0x30 zombies and 0x03 lists the last two of the same three, so the second player adds one zombie to the stage's opening encounter.
004088a0	EvtOpSpawnPlaced09	alloc 0x13F4; reads desc+0x24/+0x25 inline; does NOT set obj+0x1390
